,title,synopsis,category
0,패션 오브 크라이스트,열두 제자 중 유다의 배신으로 붙잡  예수  제사장들과 불신으로 가득 찬 군중들은 신성모독죄라는 죄명 하에 그에게 십자가 형을 선고한다  사람들의 탄식과 야유 속에 예수는 골고다 언덕을 오르는데     끝없는 사랑으로 인류의 죄를 대신한 예수 그리스도  그의 마지막   시간을 만나다 ,drama
1,스파이더맨: 뉴 유니버스,평범한   대  마일스 모랄레스 는 우연  방사능 거미에 물려 스파이더맨 능력을 가지게 된다  혼란스러워하던  마일스 는 악당과 싸우고 있는  피터 파커 를 마주치게 되고  피터 파커 는  마일스 가 자신과 같은 능력을 가지고 있음을 직감한다  여러 개의 평행세계가 존재한다는 것을 알게 된  마일스 와  피터 파커 는 이후 스파이더우먼  스파이더 그웬    스파이더맨 누아르    스파이더햄  등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데  하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까   스파이더맨들의 새로운 시대가 열린다 ,drama
2,용서받지 못한 자, 년여 동안 나름 군기반장으로서 모범적인 군생활을 했다고 자부하는 말년 병장 태정은 중학교 동창인 승영이 내무반 신참으로 들어오면서 평탄치가 않게 된다  상관의 군화에 매일같이 물광을 내 갖다 바치는 것이 당연하고 고참은 신참 팬티를 뺏어 입어도 당당할 수 있는 군대 특유의 부조리함을 받아들이지 못하는 승영은 사사건건 문제를 일으키고 태정은 친구라는 이유로 승영을 계속 감싸주지만 자신까지 곤란한 상황에 몰리기가 일쑤다  시키는 대로 하는 것이 편하다는 태정의 충고와 걱정에도 아랑곳 않고 승영은 자신이 고참이 되면 이런 나쁜 관행들을 다 바꿀 자신이 있다고 큰소리를 치지만 태정에겐 그런 승영이 답답하고 자신의 제대 후 홀로 남겨질 친구의 앞날이 걱정될 뿐이다  그러던 중 승영도 어느덧 지훈을 후임으로 두게 된다  다른 고참들의 따가운 시선 속에서도 승영은 자신의 소신대로 지훈에게 잘 해주지만 그럴 수록 자신에 대한 부대 내 따돌림은 심해지고 인간적으로 대한 지훈도 제 멋대로이다  태정이라는 보호막도 없어진 승영은 이제 서서  변해가기 시작하는데     년여 후  제대하고 군대의 기억을 까맣게 잊고 지내던 태정에게 어느날 승영으로부터 갑작스레 만나자는 전화가 온다  승영을 별로 만나고 싶지 않은 태정은 여자친구를 불러내고 승영은 어딘가 불안한 모습으로 꼭 해야 할 말이 있다며 자꾸 태정을 붙잡는데   태정의 제대 후 승영에겐 과연 무슨 일이 있었던 걸까 ,drama
3,안나 카레니나,치명적인 아름다움  파국을 불러온 비극적 사랑   아름다운 미모와 교양을 갖춘 귀족 부인 안나 카레니나   존경 받는 남편  귀여운 아들과 평화로운 가정을 유지하고 있지만  모스크바 상류사회에서 만난 젊은 장교 브론스키와  서로 강렬한 끌림을 느끼면서 안나는 혼란에 빠지는데     도덕적 잣대와 명예를 뛰어넘는 거부할 수 없는 사랑     톨스토이 최고의 고전문학 소설을 아름답고 시적인 노래와  화려하고 웅장한 무대 연출로 담아낸 뮤지컬 걸작을  영화로 만나보세요 ,drama
4,NULL,NULL,drama
5,글래디에이터, 절정기의 로마제국은 그 영토가 광대하여 아프리카 사막에서 잉글랜드 북쪽까지 걸쳐 있었다  그 당시 세계는 그 총인구의    이 로마 황제의 지배 하에 있었다  때는 서기    년  마르커스 아우렐리우스                  황제의   년에 걸친 게르마니아           정벌이 거의 마무리되던 무렵이었다  마지막 하나 남은 적의 요새만 함락하면 이제 로마 제국은 평화가 온다   평화로운   현제 시대 가 막바지에 이른 서기    년 로마  어두운 삼림  수백명의 부대가 숨을 죽이고 서 있다  마치 폭풍전야와 같이  장군의 신호가 울리고 거대한 함성소리와 함께 하늘에는 불화살  불타는 점토 항아리가 난무하고  땅위는 수많은 병사들의 피로 물든다  철인     황제 마르쿠스 아우렐리우스                  리차드 해리스 분 가 아들처럼 친애하는 장군 막시무스                  러셀 크로우 분 는 다뉴브 강가 전투에서 대승한다  죽을 날이 머지않은 황제 마르쿠스 아우렐리우스는 막시무스를 총애하여  아들이 아닌 그에게 왕위를 넘겨주기로 한다  그러나 황제의 아들 코모두스는 이에 질투와 분노를 느껴 급기야 황제를 살해한다  왕좌를 이어받은 코모두스는 막시무스와 그의 가족을 죽이라고 명령한다  가족을 모두 잃고 혼자 겨우 살아남게 된 막시무스는 노예로 전락하고  투기장의 검투사로 매일 훈련을 받는다  그에게 남은 건 오로지 새로 즉위한 황제 코모두스에 대한 복수 뿐  검투사로서 매 경기마다 승리로 이끌면서 살아남자 그의 명성과 인기는 날로 높아간다  로마로 돌아온 그는 아내와 아들을 죽인 코모두스에 대한 복수를 다짐한다  그러던 어느날  오래전 사랑했던 황제의 누이 루실라          코니 닐슨 분 를 다시 만나게 된다  어느 새 민중의 영웅이 된 막시무스  코모두스는 그가 아직 살아있음을 알고 분노하지만 민중이 두려워 그를 죽이지 못한다  드디어 막시무스는 예전의 부하들과 은밀  만나 사랑하는 아내와 아들  존경하던 황제를 살해한 난폭한 황제 코모두스에 대한 복수를 결의한다  아직도 막시무스를 사랑하고 있는 루실라는 동생 코모두스를 배신하고 막시무스의 반란을 도우려 하는데 ,drama
6,NULL,NULL,drama
7,파벨만스,난생 처음 극장에서 스크린을 마주한 순간부터 영화와 사랑에 빠진 소년  새미  가브리엘 라벨   아빠  버트  폴 다노 의     카메라를 들고 일상의 모든 순간을 담기 위해 열중하던 새미는 우연  필름에 포착된 가족의 비밀을 알게 되고 충격에 휩싸인다  진실을 비추는 필름의  을 실감한 새미에게 크고 작은 삶의 변화가 일어나고 엄마  미치  미셸 윌리엄스 의 응원으로 영화를 향한 열정은 더욱 뜨거워져만 가는데  영원  간직하고픈 기억  영화의 모든 순간과 사랑에 빠진다 ,drama
8,NULL,NULL,drama
9,해리 포터와 마법사의 돌(1편),해리 포터 다니엘 래드클리프 분 는 위압적인 버논 숙부 리챠드 그리피스 분 와 냉담한 이모 페투니아  피오나 쇼 분   욕심 많고 버릇없는 사촌 더즐리 해리 멜링 분  밑에서 갖은 구박을 견디며 계단 밑 벽장에서 생활한다  이모네 식구들 역시 해리와의 동거가 불편하기는 마찬가지  이모 페투니아에겐 해리가 이상한    언니 부부에 관한 기억을 떠올리게 만드는 달갑지 않은 존재다    살 생일이 며칠 앞으로 다가왔지만 한번도 생일파티를 치르거나 제대로 된 생일선물을 받아 본 적이 없는 해리로서는 특별  신날 것도 기대 할 것도 없다    살 생일을 며칠 앞둔 어느 날 해리에게 초록색 잉크로 쓰여진 한 통의 편지가 배달된다  그 편지의 내용은 다름 아닌 해리의   살 생일을 맞이하여 전설적인 호그와트 마법학교 에서 보낸 입학초대장이었다  그리고 해리의 생일을 축하하러 온 거인 해그리드는 해리가 모르고 있었던 해리의 진정한 정체를 알려주는데  그것은 바로 해리가 굉장한 능력을 지닌 마법사라는 것  해리는 해그리드의 지시대로 자신을 구박하던 이모네 집을 주저없이 떠나 호그와트행   을 택한다  런던의 킹스크로스 역에 있는 비밀의  와     승장장에서 호그와트 특급열차를 탄 해리는 열차 안에서 같은 호그와트 마법학교 입학생인 헤르미온느 그레인저 엠마 왓슨 분 와 론 위즐리  루퍼트 그린트 분 를 만나 친구가 된다  이들과 함께 호그와트에 입학한 해리는  놀라운 모험의 세계를 경험하며 갖가지 신기한 마법들을 배워 나간다  또한 빗자루를 타고 공중을 날아다니며 경기하는 스릴 만점의 퀴디치 게임에서 스타로 탄생하게 되며  용 머리가 셋 달린 개 유니콘 켄타우루스  포그리프 말 몸에 독수리 머리와 날개를 가진 괴물 등 신비한 동물들과 마주치며 모험을 즐긴다  그러던 어느 날 해리는 호그와트 지하실에  영원한 생을 가져다주는 마법사의 돌 이 비밀리에 보관되어 있다는 것을 알게되고  해리의 부모님을 죽인 볼드모트가 그 돌을 노린다는 사실도 알게 된다  볼드모트는 바로 해리를 죽이려다 실패하고 이마에 번개모양의 흉터를 남긴 장본인이다  해리는 볼드모트로부터 마법의 돌과 호그와트 마법학교를 지키기 위해 필사의 노력을 하는데   ,drama
